timestamp,dx,dy
1744381350.4790862,-1,0
1744381350.4869812,3,-2
1744381350.4950228,-3,2
1744381350.5031881,2,-2
1744381350.5110412,-1,1
1744381351,2,-2
1744381350.5271566,-2,2
1744381350.535019,4,-3
1744381351,-5,3
1744381350.551007,5,-3
1744381350.558987,-6,5
1744381350.566966,1,-1
1744381350.5754168,0,0
1744381350.583026,1,0
1744381351,-2,0
1744381350.5989885,1,-1
1744381351,-2,2
1744381350.6236901,1,-1
1744381350.6389773,1,0
1744381350.6469183,-2,1
1744381351.0090113,0,1
1744381351.0189764,0,4
1744381351.025125,1,12
1744381351.0350153,2,8
1744381351.0417726,0,-9
1744381351.0512338,4,12
1744381351.0589705,-4,-17
1744381351.0670397,4,12
1744381351,-6,-19
1744381351.0829842,2,7
1744381351.0909865,-2,-6
1744381351.0989914,1,3
1744381351.1072063,-2,-6
1744381351.1150036,0,0
1744381351.1231997,0,-1
1744381351.1309586,0,1
1744381351.6050642,1,-2
1744381351.612959,1,0
1744381351.6212204,1,0
1744381351.6310008,2,-1
1744381351.636937,2,0
1744381351.6469865,-4,0
1744381351.6549785,2,0
1744381351.663041,5,0
1744381351.6710272,7,-1
1744381351.6789706,-10,1
1744381351.6869814,3,-1
1744381351.694916,-2,1
1744381351.702994,5,0
1744381351.7111325,-8,0
1744381351.719008,3,0
1744381351.7272804,-4,1
1744381351.7349267,5,0
1744381351.7430995,-6,0
1744381351.7510438,4,0
1744381351.7589755,-6,0
1744381351.7669406,2,0
1744381351.774954,-3,0
1744381351.8630297,1,0
1744381351.8711252,2,0
1744381351.8790138,5,0
1744381351.8869562,7,0
1744381351.8949559,-6,1
1744381351.9029167,10,2
1744381351.9110575,-5,-3
1744381351.9210157,9,0
1744381351.9271233,15,0
1744381351.9369955,11,0
1744381351.9431393,-33,0
1744381351.9529784,12,0
1744381351.9609802,-23,0
1744381351.9691195,12,-1
1744381351.9769862,-13,1
1744381351.984979,5,-1
1744381351.9930847,-8,1
1744381352.0009196,1,-1
1744381352.4271193,-2,0
1744381352.4350667,0,-3
1744381352.442941,-1,2
1744381352.4511867,-1,-1
1744381352.4589744,-1,0
1744381352.4670546,-1,-3
1744381352.4751165,2,4
1744381352.4829776,-1,-1
1744381352.4910548,2,1
1744381352.4990141,0,0
1744381352.5170257,0,1
1744381352.541259,1,1
1744381352.8610387,1,0
1744381352.8711226,2,-1
1744381353,3,-1
1744381352.8868773,3,-1
1744381352.8951182,-4,2
1744381352.9029534,9,-2
1744381352.911134,-11,3
1744381352.9191363,10,-4
1744381352.9270027,-6,1
1744381352.9349492,6,-2
1744381352.9431255,-7,2
1744381352.9510438,6,-2
1744381352.9589393,-7,4
1744381352.9668534,10,-4
1744381352.9751737,-7,2
1744381352.9829829,10,-3
1744381352.9909816,-14,5
1744381352.9989796,13,-4
1744381353.007212,-13,3
1744381353.0150285,6,-2
1744381353,-7,2
1744381353.0309427,2,0
1744381353.039069,-3,1
1744381353.047099,0,0
1744381353.0551186,-2,0
1744381353.3691356,1,1
1744381353.3771105,-1,-1
1744381353.384991,1,0
1744381353.499194,-1,-1
1744381353.5071366,-2,0
1744381353.5152402,-3,-4
1744381353.523089,0,4
1744381353.5308945,-2,-3
1744381353.539046,1,2
1744381353.5469775,-11,-5
1744381353.5551012,12,6
1744381353.562976,-6,-4
1744381353.5709014,-3,-2
1744381353.5791488,12,7
1744381353.5869467,-2,-1
1744381353.5950458,2,1
1744381353.603084,-1,-1
1744381353.611066,2,2
1744381353.6189227,-1,0
1744381354.0551763,2,-1
1744381354.0610259,0,-3
1744381354.0712118,-1,-4
1744381354.0790327,0,-2
1744381354,0,-3
1744381354.0950313,0,8
1744381354.103195,0,-3
1744381354.1110704,-1,4
1744381354.1189554,-1,-7
1744381354.1269813,3,7
1744381354.1350865,0,-4
1744381354.1430016,-1,5
1744381354.1509087,0,-3
1744381354.1589403,0,3
1744381354.1669092,0,-2
1744381354.1749556,0,2
1744381354.1828756,0,-3
1744381354.1910102,1,4
1744381354.1989827,-1,-2
1744381354.207148,1,2
1744381354.214954,-1,-2
1744381354.2231731,0,1
1744381354.2309473,0,-1
1744381354.2389314,1,4
1744381354.593008,-1,0
1744381354.6009765,-1,0
1744381354.608995,0,0
1744381354.617236,-2,1
1744381354.6251385,2,-1
1744381354.6349616,-2,1
1744381354.6411815,1,0
1744381354.6509545,-3,1
1744381354.6572165,3,-1
1744381354.6669939,-5,1
1744381354.6751037,4,-2
1744381354.6829007,-4,0
1744381354.6909928,4,0
1744381354.6993184,-3,0
1744381354.7071671,3,0
1744381354.7149525,-5,-2
1744381354.7231345,5,2
1744381354.7313662,-3,-1
1744381354.738967,4,0
1744381354.7469783,-6,-2
1744381354.7550972,7,2
1744381354.7629862,-2,0
1744381354.771034,-5,0
1744381354.7790475,-2,-1
1744381354.7869344,-2,-1
1744381354.7949238,12,3
1744381354.802888,-2,0
1744381354.8110425,3,0
1744381354.8271012,-1,0
1744381355.1733541,1,0
1744381355.1809914,-1,0
1744381355.1893458,0,0
1744381355.1970115,-1,0
1744381355.2050097,1,0
1744381355.2130075,-2,0
1744381355,-2,0
1744381355.2290037,-1,0
1744381355.2369616,-2,0
1744381355.2471611,6,0
1744381355.2533321,-3,-1
1744381355.2630022,2,1
1744381355.2710195,-3,0
1744381355.2789292,-5,0
1744381355.2869685,-4,0
1744381355.2951744,10,-1
1744381355.3033369,-6,-1
1744381355.3110733,8,2
1744381355.3195236,-5,0
1744381355,0,-1
1744381355.3350403,-6,0
1744381355.342973,10,0
1744381355.3509204,-2,0
1744381355.3591094,4,1
1744381355.3669744,-1,-1
1744381355.383004,3,1
1744381355.407187,-1,0
1744381355.4469678,0,0
1744381355.4869795,1,0
1744381355.5029728,-1,-3
1744381355.510927,1,-1
1744381355.5189145,-1,-4
1744381355.5270724,0,2
1744381355.5349526,-1,-9
1744381355.5449708,1,7
1744381355.5508423,0,-11
1744381355.5610662,1,12
1744381355.566938,0,-8
1744381355.5770638,0,9
1744381355.582934,0,-6
1744381355.5930758,0,7
1744381355.600939,0,-3
1744381355.6092553,0,5
1744381355.6170037,0,-3
1744381355.625004,0,4
1744381355.6329343,0,0
1744381356.0591624,0,0
1744381356.0669549,1,-5
1744381356.074984,1,-2
1744381356.082946,2,-8
1744381356.0909433,-1,9
1744381356.0990744,1,-5
1744381356.1071742,1,1
1744381356,4,-11
1744381356.1230667,-8,17
1744381356,6,-12
1744381356.139076,-5,12
1744381356.1489787,3,-8
1744381356.154986,2,-5
1744381356.1650805,-7,15
1744381356.1710806,0,-1
1744381356.1810577,1,-2
1744381356.189106,-1,7
1744381356.1968992,0,-1
1744381356.389267,1,1
1744381356.397034,2,1
1744381356.4051425,3,7
1744381356.4130826,7,6
1744381356.4209898,12,11
1744381356.428989,14,8
1744381356.4369664,9,7
1744381356.4449346,-41,-36
1744381356.4549906,19,8
1744381356.460922,17,6
1744381356.470994,11,5
1744381356.4789965,24,5
1744381356.4872925,16,4
1744381356.4950695,12,1
1744381356.5031576,6,0
1744381356.5110388,-103,-32
1744381356.5192518,5,0
1744381356.5271537,-13,-1
1744381356.5350003,1,0
1744381356.9611187,-2,0
1744381356.969118,-1,-1
1744381356.977132,-5,-3
1744381356.9851277,-3,-1
1744381356.9929323,2,0
1744381357.0009835,-7,-5
1744381357.008966,8,6
1744381357.0169666,-10,-6
1744381357.0250936,7,4
1744381357.0329406,-10,-7
